Master Customer Name,Original Name,Initial Clean Name,Type
161 SPRINGMILL PROPERTIES,161 Springmill Properties Llc C/O Kennmar Llc,161 SPRINGMILL PROPERTIES,C/O Strip
3665 MALLORY JV,3665 Mallory Jv Llc Co Foundry Commercial Llc,3665 MALLORY JV,C/O Strip
3LS PROPERTIES CHATTANOOGA,3Ls Properties Chattanooga C/O Realty Trust Group,3LS PROPERTIES CHATTANOOGA,C/O Strip
45NINETY CONSTRUCTION,45 Ninety Construction,45 NINETY CONSTRUCTION,Fuzzy Merge
8200 HAVERSTICK,8200 Haverstick Llc C/O Jll,8200 HAVERSTICK,C/O Strip
ALL ELEVEN,All Eleven C/O Nai,ALL ELEVEN,C/O Strip
AMAZON,"Amazon Data Services, Inc.",AMAZON,Chain Rule
AMAZON,Amazon.Com,AMAZON,Chain Rule
AMAZON,Amazon.Com Services Llc,AMAZON,Chain Rule
AMAZON,Amazon.Com Services Llc,AMAZON,Chain Rule
AMCOR RIGIDS,Amcor Rigids C/O Aramark Gbs Facility Operations Center,AMCOR RIGIDS,C/O Strip
AMERIPLEX 2,Ameriplex 2 Llc C/O Jones Lang Lasalle Americas Inc,AMERIPLEX 2,C/O Strip
ARCHDIOCESE OF CINCINNATI,Archdioceses Of Cincinnati,ARCHDIOCESES OF CINCINNATI,Fuzzy Merge
ARK BROOKVALE,Ark Llc - Brookvale C/O Avison Young,ARK BROOKVALE,C/O Strip
ARVATO DIGITAL USA,Arvato Digital Usa Llc C/O Accounts Payable,ARVATO DIGITAL USA,C/O Strip
ATRIUM LP,Atrium Lp C/O Commercial & Investmentproperties,ATRIUM LP,C/O Strip
AURORA PROPERTIES,Aurora Properties Llc C/O Avison Young,AURORA PROPERTIES,C/O Strip
BC TERMINALS,Bc Terminals Llc C/O Commercial & Investment Properties,BC TERMINALS,C/O Strip
BLUE ASH ACQUISTIONS,Blue Ash Acquistions C/O Collier,BLUE ASH ACQUISTIONS,C/O Strip
BLUE HOLDINGS,Blue Holdings Llc Co Foundry Commerical Llc,BLUE HOLDINGS,C/O Strip
BLUE RIDGE REALTY,"Blue Ridge Realty, Inc C/O Lakeside Centre Realty Partners Llc",BLUE RIDGE REALTY,C/O Strip
BLUE RIDGE REALTY,"Blue Ridge Realty, Inc. C/O Brookvale Ii, Llc.",BLUE RIDGE REALTY,C/O Strip
BLUE RIDGE REALTY,"Blue Ridge Realty, Inc. C/O Brookview Promenade, Llc",BLUE RIDGE REALTY,C/O Strip
BLUE RIDGE REALTY,"Blue Ridge Realty, Inc. C/O Cross Park Plaza Association, Inc",BLUE RIDGE REALTY,C/O Strip
BLUE RIDGE REALTY,"Blue Ridge Realty, Inc. C/O Pellissippi South, Llc",BLUE RIDGE REALTY,C/O Strip
BLUE RIDGE REALTY,"Blue Ridge Realty, Inc. C/O Two Lakeside Realty, Llc",BLUE RIDGE REALTY,C/O Strip
BLUEGRASS COMMUNITY HOSPITAL,Bluegrass Community Hospital C/O Lifepoint,BLUEGRASS COMMUNITY HOSPITAL,C/O Strip
BURKEAILEY CONSTRUCTION,Burke-Ailey Construction Co Inc,BURKEAILEY CONSTRUCTION,C/O Strip
CANAL WINCHESTER LOGISTICS,Canal Winchester Logistics Llc C/O Jll,CANAL WINCHESTER LOGISTICS,C/O Strip
CAZANA FAMILY DCP GENERAL PARTNERSHIP,Cazana Family Dcp General Partnership C/O Commercial & Investmen,CAZANA FAMILY DCP GENERAL PARTNERSHIP,C/O Strip
CBRE,Cbre Gws Llc,CBRE,Chain Rule
CBRE,Cbre Novartis Fm,CBRE,Chain Rule
CGM CAPITAL HOLDINGS,Cgm Capital Holdings C/O Harrell Tague 10531D,CGM CAPITAL HOLDINGS,C/O Strip
CH FOREST PARK PARTNERS GP,"Ch Forest Park Partners, Gp C/O Premier Property Management Llc",CH FOREST PARK PARTNERS GP,C/O Strip
CH HAZARD SHOPS,Ch Hazard Shops C/O Premier Property Mgmt Company,CH HAZARD SHOPS,C/O Strip
CHASE BANK,Chase Tower 707 Virginia St C/0 Jll Management Office,CHASE BANK,Chain Rule
