BrandNormalized,EquipmentType,AttributeName,RuleModelRegex,RuleStartPos,RuleEndPos,Code,SupportN,MostCommonTons,MostCommonTonsN,PurityPct,UniqueTruthTonsN,TruthTonsValuesJson
AAON,ERV,HVACExport_CoolingTonCode,^[A-Z0-9-]{19}$,4,6,015,1,15,1,100.0,1,"{""15"": 1}"
AAON,ERV,HVACExport_CoolingTonCode,^[A-Z0-9-]{19}$,4,6,025,3,25,3,100.0,1,"{""25"": 3}"
AAON,ERV,HVACExport_CoolingTonCode,^[A-Z0-9-]{19}$,4,6,030,6,30,6,100.0,1,"{""30"": 6}"
AAON,MAU,HVACExport_CoolingTonCode,^[A-Z0-9-]{14}$,3,5,062,3,6,3,100.0,1,"{""6"": 3}"
AAON,MAU,HVACExport_CoolingTonCode,^[A-Z0-9-]{14}$,3,5,063,3,6,3,100.0,1,"{""6"": 3}"
AAON,MAU,HVACExport_CoolingTonCode,^[A-Z0-9-]{14}$,3,5,072,3,7,3,100.0,1,"{""7"": 3}"
AAON,MAU,HVACExport_CoolingTonCode,^[A-Z0-9-]{19}$,4,6,010,9,10,9,100.0,1,"{""10"": 9}"
AAON,MAU,HVACExport_CoolingTonCode,^[A-Z0-9-]{19}$,4,6,011,3,11,3,100.0,1,"{""11"": 3}"
AAON,MAU,HVACExport_CoolingTonCode,^[A-Z0-9-]{19}$,4,6,015,6,15,6,100.0,1,"{""15"": 6}"
AAON,MAU,HVACExport_CoolingTonCode,^[A-Z0-9-]{19}$,4,6,016,6,16,6,100.0,1,"{""16"": 6}"
AAON,MAU,HVACExport_CoolingTonCode,^[A-Z0-9-]{19}$,4,6,020,9,20,9,100.0,1,"{""20"": 9}"
AAON,MAU,HVACExport_CoolingTonCode,^[A-Z0-9-]{19}$,4,6,025,12,25,12,100.0,1,"{""25"": 12}"
AAON,MAU,HVACExport_CoolingTonCode,^[A-Z0-9-]{19}$,4,6,030,3,30,3,100.0,1,"{""30"": 3}"
AAON,MAU,HVACExport_CoolingTonCode,^[A-Z0-9-]{19}$,4,6,040,3,40,3,100.0,1,"{""40"": 3}"
AAON,Packaged Unit,HVACExport_CoolingTonCode,^[A-Z0-9-]{19}$,4,6,004,2,16,1,50.0,2,"{""14"": 1, ""16"": 1}"
AAON,Packaged Unit,HVACExport_CoolingTonCode,^[A-Z0-9-]{19}$,4,6,006,1,6,1,100.0,1,"{""6"": 1}"
AAON,Packaged Unit,HVACExport_CoolingTonCode,^[A-Z0-9-]{19}$,4,6,010,1,10,1,100.0,1,"{""10"": 1}"
AAON,Packaged Unit,HVACExport_CoolingTonCode,^[A-Z0-9-]{19}$,4,6,011,3,11,3,100.0,1,"{""11"": 3}"
AAON,Packaged Unit,HVACExport_CoolingTonCode,^[A-Z0-9-]{19}$,4,6,013,4,14,3,75.0,2,"{""14"": 3, ""3"": 1}"
AAON,Packaged Unit,HVACExport_CoolingTonCode,^[A-Z0-9-]{19}$,4,6,015,4,15,3,75.0,2,"{""15"": 3, ""4"": 1}"
AAON,Packaged Unit,HVACExport_CoolingTonCode,^[A-Z0-9-]{19}$,4,6,016,3,16,2,66.7,2,"{""16"": 2, ""4"": 1}"
AAON,Packaged Unit,HVACExport_CoolingTonCode,^[A-Z0-9-]{19}$,4,6,020,1,20,1,100.0,1,"{""20"": 1}"
AAON,Packaged Unit,HVACExport_CoolingTonCode,^[A-Z0-9-]{19}$,4,6,040,3,40,3,100.0,1,"{""40"": 3}"
AMERICAN STANDARD,Cooling Condensing Unit,HVACExport_CoolingCode,^[A-Z0-9-]{15}$,7,8,06,1,5,1,100.0,1,"{""5"": 1}"
AMERICAN STANDARD,Cooling Condensing Unit,HVACExport_CoolingCode,^[A-Z0-9-]{15}$,7,8,36,4,3,4,100.0,1,"{""3"": 4}"
CARRIER/ICP,Air Handling Unit,HVACExport_CFMTonsCode,^[A-Z0-9-]{10}$,8,9,30,2,5,2,100.0,1,"{""5"": 2}"
CARRIER/ICP,Air Handling Unit,HVACExport_CoolingCode,"^(?=.{7,}$)(?:38|50)",5,7,060,2,5,2,100.0,1,"{""5"": 2}"
CARRIER/ICP,Air Handling Unit,HVACExport_CoolingCode,"^(?=.{8,}$)(?:38|40|53)",7,8,16,1,15,1,100.0,1,"{""15"": 1}"
CARRIER/ICP,Air Handling Unit,HVACExport_CoolingCode,"^(?=.{8,}$)(?:38|40|53)",7,8,30,2,30,2,100.0,1,"{""30"": 2}"
CARRIER/ICP,Air Handling Unit,HVACExport_CoolingCode,"^(?=.{8,}$)(?:48ES|48EZ|48VG|48VL|48VR|48VT|48XL|50ES|50EZ|50VL|50XL|50XT)",7,8,30,1,2.5,1,100.0,1,"{""2.5"": 1}"
CARRIER/ICP,Air Handling Unit,HVACExport_CoolingCode,^[A-Z0-9-]{16}$,7,9,551,1,4,1,100.0,1,"{""4"": 1}"
CARRIER/ICP,Air Handling Unit,HVACExport_CoolingTonCode,"^(?=.{6,}$)(?:39M)",5,6,17,1,22.408,1,100.0,1,"{""22.408"": 1}"
CARRIER/ICP,Air Handling Unit,HVACExport_CoolingTonCode,"^(?=.{6,}$)(?:39M)",5,6,30,1,50,1,100.0,1,"{""50"": 1}"
CARRIER/ICP,Air Handling Unit,HVACExport_CoolingTonCode,"^(?=.{6,}$)(?:39M)",5,6,36,1,60,1,100.0,1,"{""60"": 1}"
CARRIER/ICP,Air Handling Unit,HVACExport_CoolingTonCode,"^(?=.{6,}$)(?:39M)",5,6,50,2,83.333,2,100.0,1,"{""83.333"": 2}"
