DivisionCode,Division,Region,Company
AUTOMATION,Controls,Misc,Mechanical
BURDEN,Burden,Misc,Misc
BURDEN - FIELD,Burden,Misc,Misc
CFS OM PROJ JC,TFS,TFS,TFS
CFS PROJ JC,TFS,TFS,TFS
CINCY PROJ JC,Cincinnati,North,Service
COL PROJ JC,Columbus,North,Service
CONTROLS,Controls,Misc,Mechanical
DAY PROJ JC,Dayton,North,Service
DESIGN BUILD,Design Build,Mechanical,Mechanical
ENGINEERING,Engineering,Misc,Misc
FREE SERVICE DB,Free Service DB,Misc,Misc
FREE SERVICE GR,Free Service GR,Misc,Misc
INDUSTRIAL,Industrial,Misc,Misc
INDY PROJ JC,Indianapolis,North,Service
KNOX PROJ JC,Knoxville,South,Service
LEOPARDO,Leopardo,Leopardo,Mechanical
LEX PROJ JC,Lexington,Central,Service
LOU PROJ JC,Louisville,Central,Service
NASH PROJ JC,Nashville,South,Service
PERF CONTRACT,Green,Mechanical,Mechanical
PLAN SPEC,Plan Spec,Mechanical,Mechanical
SLS ASSIST DB,Sales Assist,Misc,Misc
SLS ASSIST GRN,Sales Assist,Misc,Misc
SPECIAL PROJECT,Special Project,Misc,Misc
TRAINING,Training,Misc,Misc
VACATION,Vacation,Misc,Misc
WV PROJ JC,West Virginia,Central,Service
KNOX PROJ,Knoxville,South,Service
LEX A,Lexington,Central,Service
LEX C,Lexington,Central,Service
NASH C,Nashville,South,Service
LOU C,Louisville,Central,Service
LEX I,Lexington,Central,Service
CINCY C,Cincinnati,North,Service
COL C,Columbus,North,Service
WVA C,West Virginia,Central,Service
NASH A,Nashville,South,Service
NASH OM CNTRACT,Nashville,South,Service
DAY PROJ,Dayton,North,Service
COL PROJ,Columbus,North,Service
KNOX C,Knoxville,South,Service
NASH I,Nashville,South,Service
CINCY PROJ,Cincinnati,North,Service
CFS DOWNTIME,TFS,TFS,TFS
CFS SUPERVISION,TFS,TFS,TFS
CFS TRAINING,TFS,TFS,TFS
CFS VACATION,TFS,TFS,TFS
LEX DOWNTIME,Lexington,Central,Service
LEX SUPERVISION,Lexington,Central,Service
LEX TRAINING,Lexington,Central,Service
LEX VACATION,Lexington,Central,Service
LOU DOWNTIME,Louisville,Central,Service
LOU SALES ASST,Louisville,Central,Service
LOU SUPERVISION,Louisville,Central,Service
LOU TRAINING,Louisville,Central,Service
LOU VACATION,Louisville,Central,Service
WVA DOWNTIME,West Virginia,Central,Service
WVA TRAINING,West Virginia,Central,Service
WVA VACATION,West Virginia,Central,Service
CINCY DOWNTIME,Cincinnati,North,Service
CINCY OM TRNING,Cincinnati,North,Service
CINCY SUPERVSN,Cincinnati,North,Service
DAY DOWNTIME,Dayton,North,Service
DAY OM TRAINING,Dayton,North,Service
DAY TRAINING,Dayton,North,Service
INDY DOWNTIM,Indianapolis,North,Service
INDY VACA,Indianapolis,North,Service
INDY TRAINING,Indianapolis,North,Service
