Master Customer Name Canonical,Old Website,New Website,Old NAICS,New NAICS,Old Industry Detail,New Industry Detail,Enrichment Status,Enrichment Confidence,Enrichment Source,Attempt Count,Last Attempted At,Attempt Outcome
PSC METALS,,sarecycling.com,,562920,,Metal Recycling (SA Recycling),Verified,High,Analyst,1,2026-01-21 13:48:43,
RELIABLE TRANSMISSION SERVICE,,rtsallison.com,,811113,,Automotive Transmission Repair,Verified,High,Analyst,1,2026-01-21 13:48:43,
REMAX,,remax.com,,531210,,Real Estate Brokerage,Verified,High,Analyst,1,2026-01-21 13:48:43,
RENEWAL BY ANDERSEN,,renewalbyandersen.com,,238350,,Window & Door Replacement,Verified,High,Analyst,1,2026-01-21 13:48:43,
RESIDENCE INN,,marriott.com,,721110,,Hotel (Extended Stay),Verified,High,Analyst,1,2026-01-21 13:48:43,
RESIDENCE INN HOTEL PARTNERS,,marriott.com,,721110,,Hotel (Extended Stay),Verified,High,Analyst,1,2026-01-21 13:48:43,
RESISTATEMPS,,,,339116,,Dental Laboratory,Verified,High,Analyst,1,2026-01-21 13:48:43,
RESOURCE LABEL GROUP,,resourcelabel.com,,323111,,Label & Packaging Printing,Verified,High,Analyst,1,2026-01-21 13:48:43,
RESULTANT,,resultant.com,,541512,,IT & Data Consulting,Verified,High,Analyst,1,2026-01-21 13:48:43,
REVERE PLASTICS SYSTEMS CLYDE,,revereplasticssystems.com,,326199,,Plastics Product Manufacturing,Verified,High,Analyst,1,2026-01-21 13:48:43,
REXARC INTERNATIONAL,,rexarc.com,,332420,,Metal Tank Manufacturing,Verified,High,Analyst,1,2026-01-21 13:48:43,
REYNOLDS FARM EQUIPMENT,,reynoldsfarmequipment.com,,423820,,Farm Equipment Dealership,Verified,High,Analyst,1,2026-01-21 13:48:43,
RGBS ENTERPRISES,,,,,,,Deferred,,Analyst,1,2026-01-21 13:48:43,
RHINEGEIST,,rhinegeist.com,,312120,,Craft Brewery,Verified,High,Analyst,1,2026-01-21 13:48:43,
RICHWOOD BUILDING ONE,,perotdevelopment.com,,531120,,Industrial Property Entity (Perot),Verified,High,Analyst,1,2026-01-21 13:48:43,
RICHWOOD BUILDING TWO,,perotdevelopment.com,,531120,,Industrial Property Entity (Perot),Verified,High,Analyst,1,2026-01-21 13:48:43,
RIDGE K,,,,236118,,Construction/Renovation,Verified,High,Analyst,1,2026-01-21 13:48:43,
RIEGLER BLACKTOP,,rieglerblacktop.com,,324121,,Asphalt Paving Contractor,Verified,High,Analyst,1,2026-01-21 13:48:43,
RITCHIE MECHANICAL,,ritchiemechanical.com,,238220,,Mechanical/HVAC Contractor,Verified,High,Analyst,1,2026-01-21 13:48:43,
RITE BOILER,,riteboiler.com,,332410,,Boiler Manufacturing,Verified,High,Analyst,1,2026-01-21 13:48:43,
RIVERSIDE INDUSTRIAL SERVICES,,,,811310,,Industrial Equipment Repair,Verified,High,Analyst,1,2026-01-21 13:48:43,
RIVERTOWN BREWING,,rivertownbrewery.com,,312120,,Brewery (Note: Reported Closed),Verified,High,Analyst,1,2026-01-21 13:48:43,
RJ BEISCHEL BUILDING,,beischel.com,,236220,,Commercial Construction,Verified,High,Analyst,1,2026-01-21 13:48:43,
RMR LOUISVILLE,,rmrgroup.com,,531312,,Commercial Real Estate Management,Verified,High,Analyst,1,2026-01-21 13:48:43,
ROADHOUSE DEPOT BREWING,,roundhousedepotbrewing.com,,312120,,Craft Brewery,Verified,High,Analyst,1,2026-01-21 13:48:43,
ROBERT BOSCH AUTOMOTIVE,,bosch.com,,336330,,Automotive Component Manufacturing,Verified,High,Analyst,1,2026-01-21 13:48:43,
ROBERT BOSCH AUTOMOTIVE STEERING,,bosch.com,,336330,,Automotive Steering Manufacturing,Verified,High,Analyst,1,2026-01-21 13:48:43,
ROCK OF ISRAEL,,rockofisrael.org,,813110,,Religious Organization,Verified,High,Analyst,1,2026-01-21 13:48:43,
ROCKY TOP NUTRITION BILLING,,rockytopnutrition.com,,722515,,Health Nutrition Retail,Verified,High,Analyst,1,2026-01-21 13:48:43,
ROCKY TOP SPORTS WORLD,,rockytopsportsworld.com,,711310,,Sports Event Facility,Verified,High,Analyst,1,2026-01-21 13:48:43,
